Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,ARDUINO1,ARDUINO_MEGA,1,BOARD MCU MEGA2560,1050-1018-ND,digikey
2,C1 C2 C3,10uF,3,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
3,C4 C5,0.1uF,2,CAP CER 0.1UF 50V 10% X7R 1210,478-3586-1-ND,digikey
4,D1,LED_24V,1,LED 2MM 24V VERTICAL RED PC MNT,350-1723-ND,digikey
5,E1,ENCODER_C14,1,CONN FMALE-ON-BRD 6POS VERT SMD,A99474CT-ND,digikey
6,P1,PWR_JACK_2.1x5.5,1,CONN PWR JACK DC 2.1X5.5 8A T/H,CP-063AH-ND,digikey
7,P2,HEADER_01X03,1,01x03 .100 SR STRAIGHT,609-3461-ND,digikey
8,P3,BNC_DOUBLE_RA,1,CONN BNC JACK R/A 75 OHM PCB,ACX1655-ND,digikey
9,P4 P5,HEADER_02X05_SMD,2,CONN_HEADR_2.54MM_10POS_GOLD_SMD,S9185-ND,digikey
10,P6 P7 P8 P9,HEADER_02X07_SMD,4,CONN HEADR 2.54MM 14POS GOLD SMD,S9186-ND,digikey
11,R1 R2 R3,5.11k,3,RES SMD 5.11K OHM 1% 1/2W 1210,P5.11KAACT-ND,digikey
12,S1,HEADER_01X02_SHR,1,CONN HEADER 2POS .100 VERT GOLD,WM4800-ND,digikey
13,SW1,SPST_SERIES_M,1,SWITCH TOGGLE SPST 6A 125V,360-3243-ND,digikey
14,SW2,KT_SWITCH,1,SWITCH TACTILE SPST-NO 1VA 32V,CKN1860CT-ND,digikey
15,U1 U2,MAX6817,2,IC DEBOUNCER SWITCH DUAL SOT23-6,MAX6817EUT+TCT-ND,digikey
