Item,Function,Quantity,Description,PartNumber,Vendor
1,ARDUINO,2,CONN HDR VERT 50POS .100 SNGL,SAM1055-50-ND,digikey
2,ARDUINO,1,CABLE USB A-B MALE 1M 2.0 VERS,AE1462-ND,digikey
3,POWER,1,POWER SUPPLY SWITCHER 101W 24V,271-2731-ND,digikey
4,POWER,1,LINE CORD 3 COND US,993-1039-ND,digikey
5,DISPLAY,1,LCD SERIAL 4X20 SIDE WHT BKLT,NHD-0420D3Z-NSW-BBW-V3-ND,digikey
6,DISPLAY,1,01x03 .100 SR STRAIGHT,609-3461-ND,digikey
7,DISPLAY,1,Jumper Wire - 0.1in 3-pin 4in,PRT-10363,sparkfun
8,ENCODER_C14,1,ENCODER OPT 32PPR DET CABLE TYPE,102-1914-ND,digikey
9,ENCODER_C14,1,KNOB CLR/MATTE.50 DIA .250 SHAFT,226-3100-ND,digikey
10,CONNECTORS,32,CONN HOUSING 2POS .100 SINGLE,WM2800-ND,digikey
11,CONNECTORS,64,CONN TERM FEMALE 22-24AWG GOLD,WM2512-ND,digikey
12,CONNECTORS,64,CONN TERM FEMALE 24-30AWG GOLD,WM2513-ND,digikey
13,CONNECTORS,4,CONN IDC SKT 16POS W/POL 15 GOLD,AKC16H-ND,digikey
14,CONNECTORS,8,CONN HEADER 8POS 2.54,732-5395-ND,digikey
15,CONNECTORS,8,CONN HEAD 8 POS 2.54 LEVER W/SR,732-5444-ND,digikey
16,CONNECTORS,1,CBL RIBN 16COND 0.050 MULTI 300ft,MC16M-300-ND,digikey
17,CONNECTORS,4,CONN IDC PIN 16POS 30AU NO LATCH,APK16B-ND,digikey
18,CONNECTORS,4,CONN DBL ROW SOCKETS 16POS AWG24,OR938-ND,digikey
19,CONNECTORS,64,SPARE CONTACTS FOR XG5M CONN,OR1155-ND,digikey
20,CONNECTORS,8,CONN SEMI-COVER 8POS FOR XG5M,OR941-ND,digikey
21,CONNECTORS,1,TOOL CONTACT REMOVAL FOR XG5,OR1099-ND,digikey
22,CONNECTORS,1,HANDTOOL CRIMPER FOR XG5M,OR947-ND,digikey
23,CONNECTORS,32,CONN HOUSING 2POS .100 W/LATCH,WM2900-ND,digikey
24,CONNECTORS,64,CONN TERM FEMALE 22-24AWG GOLD,WM2570-ND,digikey
25,CONNECTORS,64,CONN SOCKET 24-30AWG CRIMP 30AU,WM2572-ND,digikey
26,CONNECTORS,32,CONN HOUSING MALE 2POS .100,WM2533-ND,digikey
27,CONNECTORS,64,CONN PIN 24-30AWG CRIMP 30GOLD,WM2566-ND,digikey
28,CONNECTORS,64,CONN TERM MALE 22-24AWG GOLD,WM2567-ND,digikey
